Visitor,Home,Week,Spread Winner,DAVE Diff,Off Diff,Def Diff,Total Diff
Steelers,@Patriots,1,0,,,,
Packers,@Bears,1,0,,,,
Chiefs,@Texans,1,0,,,,
Browns,@Jets,1,1,,,,
Colts,@Bills,1,1,,,,
Dolphins,@Redskins,1,0,,,,
Panthers,@Jaguars,1,0,,,,
Seahawks,@Rams,1,1,,,,
Saints,@Cardinals,1,1,,,,
Lions,@Chargers,1,1,,,,
Titans,@Buccaneers,1,0,,,,
Bengals,@Raiders,1,0,,,,
Ravens,@Broncos,1,1,,,,
Giants,@Cowboys,1,0,,,,
Eagles,@Falcons,1,1,,,,
Vikings,@49ers,1,1,,,,
Broncos,@Chiefs,2,0,-0.1517241379,0.5548917102,-0.4886148008,0.1037321625
Texans,@Panthers,2,1,0.2045977011,-0.09858103062,0.4981024668,0.2491767289
49ers,@Steelers,2,1,0.04137931034,-0.08812546677,-0.5531309298,-0.3907793633
Buccaneers,@Saints,2,0,0.4344827586,0.497386109,-0.1451612903,0.2266739846
Lions,@Vikings,2,1,-0.1126436782,-0.1217326363,-0.2495256167,-0.2996706915
Cardinals,@Bears,2,0,-0.2781609195,-0.3405526512,-0.5066413662,-0.5603732162
Patriots,@Bills,2,0,-0.416091954,0.005974607916,0.2020872865,0.203622393
Chargers,@Bengals,2,1,0.09425287356,0.1568334578,0.07779886148,0.1915477497
Titans,@Browns,2,1,-0.2229885057,-0.5563853622,-0.5920303605,-0.7464324918
Falcons,@Giants,2,0,-0.1333333333,-0.02539208364,-0.02466793169,-0.01262349067
Rams,@Redskins,2,1,-0.6436781609,-0.09410007468,-0.06451612903,-0.1942919868
Dolphins,@Jaguars,2,1,-0.3425287356,-0.2330097087,0.1963946869,-0.1992316136
Ravens,@Raiders,2,1,-0.4436781609,0.1262135922,-0.6679316888,-0.3221734358
Cowboys,@Eagles,2,0,0.03218390805,-0.01643017177,-0.02561669829,-0.06092206367
Seahawks,@Packers,2,1,-0.1057471264,0.5519044063,0.09582542694,0.4857299671
Jets,@Colts,2,0,-0.1172413793,-0.08887229276,-0.655597723,-0.5373216246
Redskins,@Giants,3,NA,,,,
Falcons,@Cowboys,3,NA,,,,
Colts,@Titans,3,NA,,,,
Raiders,@Browns,3,NA,,,,
Bengals,@Ravens,3,NA,,,,
Jaguars,@Patriots,3,NA,,,,
Saints,@Panthers,3,NA,,,,
Eagles,@Jets,3,NA,,,,
Buccaneers,@Texans,3,NA,,,,
Chargers,@Vikings,3,NA,,,,
Steelers,@Rams,3,NA,,,,
49ers,@Cardinals,3,NA,,,,
Bills,@Dolphins,3,NA,,,,
Bears,@Seahawks,3,NA,,,,
Broncos,@Lions,3,NA,,,,
Chiefs,@Packers,3,NA,,,,
Ravens,@Steelers,4,NA,,,,
Jets,@Dolphins,4,NA,,,,
Jaguars,@Colts,4,NA,,,,
Giants,@Bills,4,NA,,,,
Panthers,@Buccaneers,4,NA,,,,
Eagles,@Redskins,4,NA,,,,
Raiders,@Bears,4,NA,,,,
Texans,@Falcons,4,NA,,,,
Chiefs,@Bengals,4,NA,,,,
Browns,@Chargers,4,NA,,,,
Packers,@49ers,4,NA,,,,
Rams,@Cardinals,4,NA,,,,
Vikings,@Broncos,4,NA,,,,
Cowboys,@Saints,4,NA,,,,
Lions,@Seahawks,4,NA,,,,
Colts,@Texans,5,NA,,,,
Bears,@Chiefs,5,NA,,,,
Seahawks,@Bengals,5,NA,,,,
Redskins,@Falcons,5,NA,,,,
Jaguars,@Buccaneers,5,NA,,,,
Saints,@Eagles,5,NA,,,,
Browns,@Ravens,5,NA,,,,
Rams,@Packers,5,NA,,,,
Bills,@Titans,5,NA,,,,
Cardinals,@Lions,5,NA,,,,
Patriots,@Cowboys,5,NA,,,,
Broncos,@Raiders,5,NA,,,,
49ers,@Giants,5,NA,,,,
Steelers,@Chargers,5,NA,,,,
Falcons,@Saints,6,NA,,,,
Redskins,@Jets,6,NA,,,,
Cardinals,@Steelers,6,NA,,,,
Chiefs,@Vikings,6,NA,,,,
Bengals,@Bills,6,NA,,,,
Bears,@Lions,6,NA,,,,
Broncos,@Browns,6,NA,,,,
Texans,@Jaguars,6,NA,,,,
Dolphins,@Titans,6,NA,,,,
Panthers,@Seahawks,6,NA,,,,
Chargers,@Packers,6,NA,,,,
Ravens,@49ers,6,NA,,,,
Patriots,@Colts,6,NA,,,,
Giants,@Eagles,6,NA,,,,
Seahawks,@49ers,7,NA,,,,
Bills,@Jaguars,7,NA,,,,
Buccaneers,@Redskins,7,NA,,,,
Falcons,@Titans,7,NA,,,,
Saints,@Colts,7,NA,,,,
Vikings,@Lions,7,NA,,,,
Steelers,@Chiefs,7,NA,,,,
Browns,@Rams,7,NA,,,,
Texans,@Dolphins,7,NA,,,,
Jets,@Patriots,7,NA,,,,
Raiders,@Chargers,7,NA,,,,
Cowboys,@Giants,7,NA,,,,
Eagles,@Panthers,7,NA,,,,
Ravens,@Cardinals,7,NA,,,,
Dolphins,@Patriots,8,NA,,,,
Lions,@Chiefs,8,NA,,,,
Buccaneers,@Falcons,8,NA,,,,
Cardinals,@Browns,8,NA,,,,
49ers,@Rams,8,NA,,,,
Giants,@Saints,8,NA,,,,
Vikings,@Bears,8,NA,,,,
Chargers,@Ravens,8,NA,,,,
Bengals,@Steelers,8,NA,,,,
Titans,@Texans,8,NA,,,,
Jets,@Raiders,8,NA,,,,
Seahawks,@Cowboys,8,NA,,,,
Packers,@Broncos,8,NA,,,,
Colts,@Panthers,8,NA,,,,
Browns,@Bengals,9,NA,,,,
Packers,@Panthers,9,NA,,,,
Redskins,@Patriots,9,NA,,,,
Titans,@Saints,9,NA,,,,
Dolphins,@Bills,9,NA,,,,
Rams,@Vikings,9,NA,,,,
Jaguars,@Jets,9,NA,,,,
Raiders,@Steelers,9,NA,,,,
Giants,@Buccaneers,9,NA,,,,
Falcons,@49ers,9,NA,,,,
Broncos,@Colts,9,NA,,,,
Eagles,@Cowboys,9,NA,,,,
Bears,@Chargers,9,NA,,,,
Bills,@Jets,10,NA,,,,
Lions,@Packers,10,NA,,,,
Cowboys,@Buccaneers,10,NA,,,,
Panthers,@Titans,10,NA,,,,
Bears,@Rams,10,NA,,,,
Saints,@Redskins,10,NA,,,,
Dolphins,@Eagles,10,NA,,,,
Browns,@Steelers,10,NA,,,,
Jaguars,@Ravens,10,NA,,,,
Vikings,@Raiders,10,NA,,,,
Patriots,@Giants,10,NA,,,,
Chiefs,@Broncos,10,NA,,,,
Cardinals,@Seahawks,10,NA,,,,
Texans,@Bengals,10,NA,,,,
Titans,@Jaguars,11,NA,,,,
Raiders,@Lions,11,NA,,,,
Colts,@Falcons,11,NA,,,,
Jets,@Texans,11,NA,,,,
Buccaneers,@Eagles,11,NA,,,,
Broncos,@Bears,11,NA,,,,
Packers,@Vikings,11,NA,,,,
Rams,@Ravens,11,NA,,,,
Cowboys,@Dolphins,11,NA,,,,
Redskins,@Panthers,11,NA,,,,
Bengals,@Cardinals,11,NA,,,,
49ers,@Seahawks,11,NA,,,,
Chiefs,@Chargers,11,NA,,,,
Bills,@Patriots,11,NA,,,,
Eagles,@Lions,12,NA,,,,
Panthers,@Cowboys,12,NA,,,,
Bears,@Packers,12,NA,,,,
Saints,@Texans,12,NA,,,,
Rams,@Bengals,12,NA,,,,
Vikings,@Falcons,12,NA,,,,
Giants,@Redskins,12,NA,,,,
Buccaneers,@Colts,12,NA,,,,
Bills,@Chiefs,12,NA,,,,
Raiders,@Titans,12,NA,,,,
Chargers,@Jaguars,12,NA,,,,
Dolphins,@Jets,12,NA,,,,
Cardinals,@49ers,12,NA,,,,
Steelers,@Seahawks,12,NA,,,,
Patriots,@Broncos,12,NA,,,,
Ravens,@Browns,12,NA,,,,
Packers,@Lions,13,NA,,,,
Jets,@Giants,13,NA,,,,
Cardinals,@Rams,13,NA,,,,
Falcons,@Buccaneers,13,NA,,,,
Panthers,@Saints,13,NA,,,,
Seahawks,@Vikings,13,NA,,,,
Texans,@Bills,13,NA,,,,
Ravens,@Dolphins,13,NA,,,,
Bengals,@Browns,13,NA,,,,
Jaguars,@Titans,13,NA,,,,
49ers,@Bears,13,NA,,,,
Broncos,@Chargers,13,NA,,,,
Chiefs,@Raiders,13,NA,,,,
Eagles,@Patriots,13,NA,,,,
Colts,@Steelers,13,NA,,,,
Cowboys,@Redskins,13,NA,,,,
Vikings,@Cardinals,14,NA,,,,
Bills,@Eagles,14,NA,,,,
49ers,@Browns,14,NA,,,,
Lions,@Rams,14,NA,,,,
Saints,@Buccaneers,14,NA,,,,
Titans,@Jets,14,NA,,,,
Steelers,@Bengals,14,NA,,,,
Patriots,@Texans,14,NA,,,,
Colts,@Jaguars,14,NA,,,,
Chargers,@Chiefs,14,NA,,,,
Redskins,@Bears,14,NA,,,,
Falcons,@Panthers,14,NA,,,,
Raiders,@Broncos,14,NA,,,,
Cowboys,@Packers,14,NA,,,,
Seahawks,@Ravens,14,NA,,,,
Giants,@Dolphins,14,NA,,,,
Buccaneers,@Rams,15,NA,,,,
Jets,@Cowboys,15,NA,,,,
Bears,@Vikings,15,NA,,,,
Falcons,@Jaguars,15,NA,,,,
Texans,@Colts,15,NA,,,,
Cardinals,@Eagles,15,NA,,,,
Panthers,@Giants,15,NA,,,,
Titans,@Patriots,15,NA,,,,
Bills,@Redskins,15,NA,,,,
Chiefs,@Ravens,15,NA,,,,
Browns,@Seahawks,15,NA,,,,
Packers,@Raiders,15,NA,,,,
Broncos,@Steelers,15,NA,,,,
Dolphins,@Chargers,15,NA,,,,
Bengals,@49ers,15,NA,,,,
Lions,@Saints,15,NA,,,,
Chargers,@Raiders,16,NA,,,,
Redskins,@Eagles,16,NA,,,,
Patriots,@Jets,16,NA,,,,
Texans,@Titans,16,NA,,,,
Browns,@Chiefs,16,NA,,,,
Colts,@Dolphins,16,NA,,,,
Jaguars,@Saints,16,NA,,,,
49ers,@Lions,16,NA,,,,
Cowboys,@Bills,16,NA,,,,
Bears,@Buccaneers,16,NA,,,,
Panthers,@Falcons,16,NA,,,,
Giants,@Vikings,16,NA,,,,
Rams,@Seahawks,16,NA,,,,
Packers,@Cardinals,16,NA,,,,
Steelers,@Ravens,16,NA,,,,
Bengals,@Broncos,16,NA,,,,
Jets,@Bills,17,NA,,,,
Patriots,@Dolphins,17,NA,,,,
Buccaneers,@Panthers,17,NA,,,,
Saints,@Falcons,17,NA,,,,
Ravens,@Bengals,17,NA,,,,
Steelers,@Browns,17,NA,,,,
Jaguars,@Texans,17,NA,,,,
Titans,@Colts,17,NA,,,,
Raiders,@Chiefs,17,NA,,,,
Redskins,@Cowboys,17,NA,,,,
Eagles,@Giants,17,NA,,,,
Lions,@Bears,17,NA,,,,
Vikings,@Packers,17,NA,,,,
Chargers,@Broncos,17,NA,,,,
Seahawks,@Cardinals,17,NA,,,,
Rams,@49ers,17,NA,,,,