Visitor,Home,Week,Winner,HDAVE,VDAVE,HOff,VOff,HDef,VDef,HTotal,VTotal,HSpec,VSpec,log(HDAVE),log(VDAVE),14HPyth,14HEst,14HOff,14HDef,14HTotal,14VPyth,14VEst,14VOff,14VDef,14VTotal,Home Cushion,Spread,Open Spread,HWin,VWin
Chargers,@Packers,6,0,32.5,-4.8,20.1,4.1,19.3,-6.8,41.2,-8.6,1.8,-5.9,4.194189897,3.206803244,11.2,10.8,24.7,1,23.3,8,8,7,-4.9,-0.6,-3.5,-10.5,-9.5,1,0.4
Ravens,@49ers,6,1,-31.3,1.8,-15.4,-0.9,-21,-4.6,-40.8,0.3,-4.4,5.8,0.9162907319,3.443618098,7,9,-0.4,10.1,6.6,10.9,11.5,9.4,4.6,21.9,7.5,2.5,3,0.2,0.2
Patriots,@Colts,6,1,-6.6,41.3,-5.5,38.1,-7.6,8.7,-11.1,55.9,2,9.1,3.303216973,4.259859001,10.2,8.8,-1.1,2.3,4.5,11.8,10.8,13.5,3,22.1,1.5,8.5,7,0.6,1
Giants,@Eagles,6,1,7.7,10.4,-5,9.8,12.8,1.6,8.8,15.3,1,3.9,3.725693427,3.686376324,9.7,9.7,1.1,3.3,12.8,7.5,7,-0.3,-4.9,-5.8,16.5,-3.5,-4,0.4,0.6
Seahawks,@49ers,7,0,-30.2,14.5,-13,1.3,-19.1,1.1,-36.3,12,-4.2,9.6,,,7,9,-0.4,10.1,6.6,11.9,12.7,16.8,16.8,31.9,-10.5,6.5,4,0.333,0.333
Bills,@Jaguars,7,1,-21.2,9.7,-6.2,12.4,-9.8,1.6,-22.1,13.4,-6.1,-0.6,,,3.6,3.3,-24.3,-1.5,-29.5,9.6,9,-11.2,15.5,10.5,6,3,4,0.167,0.5
Buccaneers,@Redskins,7,0,-6.1,-21.7,-4.1,-22.7,0.6,-1.4,-2.8,-24.6,0.7,-0.5,,,4.5,4.4,-11.8,-9.9,-27,4.4,4.1,-26.3,-1.1,-28.3,-2,-3,-4,0.333,0.4
Falcons,@Titans,7,1,-13.8,-0.9,-12.5,8.8,3.2,-5.9,-13.2,-1.6,-3.9,-4.5,,,3.3,4,-16.4,-11.2,-29.3,7.1,7.2,7.2,-15.7,-5.4,2.5,6,4,0.2,0.833
Saints,@Colts,7,0,-4.1,-12.4,-1.2,6.8,-6.6,-19.3,-6.5,-16.1,1.3,-3.6,,,10.2,8.8,-1.1,2.3,4.5,7.4,7.6,10.6,-13.1,-0.9,-10,-6,-5.5,0.5,0.333
Vikings,@Lions,7,0,-19.6,-13.4,-11.3,-15.3,-12.2,-5.4,-25,-20.3,-1.5,0.4,,,9.2,8.7,-3.8,13.9,4.4,7.5,7.2,-7.4,-4.3,-8.7,-8,0,-1,0.167,0.6
Steelers,@Chiefs,7,1,-2.5,17.4,-0.6,19.8,-7.3,0.4,-4.3,20.9,3.6,0.7,,,10.1,9.4,5,-1.3,10.4,9.7,9.4,22.5,-11.3,12.1,7,-3,-2,0.167,0.667
Browns,@Rams,7,1,-0.6,-8.3,-20,-6.9,14.4,-10,-3.7,-7.8,1.9,9.1,,,7.1,6.1,-11.1,3.8,-3.8,6.9,7.2,-10.2,3,-6.7,12,-6,-5.5,0.4,0.333
Texans,@Dolphins,7,1,-8.7,-21.8,-4.4,-10.2,-8,-7,-10.5,-25.9,1.9,-8.7,,,8.4,8.8,10.1,-0.5,3.5,9.8,6.7,-6.8,6.2,-4.5,14,-5,-5.5,0.4,0.333
Jets,@Patriots,7,NA,37.5,19.6,32.8,5.4,3.7,29.4,44.4,26.9,7.9,-7.9,,,11.8,10.8,13.5,3,22.1,4.8,5.9,-11.2,-3.5,-15.5,0,-7,-9,1,0.8
Raiders,@Chargers,7,0,-5.6,-4.7,6.7,-2.5,-8.7,-3.9,-8.3,-2.9,-6.3,3.5,,,8,8,7,-4.9,-0.6,3.1,4.8,-19.4,-6.3,-27.4,-11.5,-3.5,-5.5,0.333,0.4
Cowboys,@Giants,7,1,2,-11.3,-0.9,-6.1,1.5,-6.8,3.2,-14.5,2.6,-1.6,,,7.5,7,-0.3,-4.9,-5.8,10.8,10.3,16.8,-4,13.7,4,-3,-6,0.5,0.4
Eagles,@Panthers,7,1,7.1,15.2,2.1,-5.1,15.9,20.7,11.1,17.1,-6.9,1.5,,,7,7.4,-4.7,1.7,-8.5,9.7,9.7,1.1,3.3,12.8,8,-3,-3.5,1,0.5
Ravens,@Cardinals,7,0,35.4,0.7,23.6,-1.6,19.9,-5.2,45.3,-0.5,1.8,6.3,,,8.3,7.4,-9.3,5,-6.4,10.9,11.5,9.4,4.6,21.9,-2,-10,-7,0.667,0.167
Dolphins,@Patriots,8,1,35.5,1.9,30.6,4.6,0.7,-2.7,39.7,2.2,8.4,0.3,,,11.8,10.8,13.5,3,22.1,8.4,8.8,10.1,-0.5,3.5,21,-8,-7.5,,
Lions,@Chiefs,8,1,2.4,-21.1,3.4,-10.6,-5.1,-12.5,2,-23.5,3.7,-0.4,,,10.1,9.4,5,-1.3,10.4,9.2,8.7,-3.8,13.9,4.4,32,-3,-6,,
Buccaneers,@Falcons,8,0,-1.2,-17.3,6.6,-12.4,-3.7,-6,-1.3,-18.5,-4.2,-0.1,,,7.1,7.2,7.2,-15.7,-5.4,4.4,4.1,-26.3,-1.1,-28.3,-11,-8,-7,,
Cardinals,@Browns,8,0,-14.1,34.7,-9.3,23.8,-12.2,17.4,-14.5,39.2,7,-2,,,6.9,7.2,-10.2,3,-6.7,8.3,7.4,-9.3,5,-6.4,-7,7,5,,
49ers,@Rams,8,1,3.1,-33.8,-16.5,-17.9,16.9,-16.6,1.9,-36.9,1.5,-2.4,,,7.1,6.1,-11.1,3.8,-3.8,7,9,-0.4,10.1,6.6,13.5,-7.5,-9,,
Giants,@Saints,8,NA,-8.7,5.1,6.5,0.3,-14.3,0,-9.9,6,-2.1,5.7,,,7.4,7.6,10.6,-13.1,-0.9,7.5,7,-0.3,-4.9,-5.8,0,-3,-3,,
Vikings,@Bears,8,0,-19.8,-15.9,-6.4,-14.7,-13.1,-6.2,-23.5,-20.4,-4,0.5,,,4.9,6.4,-0.1,-10.6,-13.8,7.5,7.2,-7.4,-4.3,-8.7,-1.5,1.5,2.5,,
Chargers,@Ravens,8,0,-1.7,-14.5,-1.8,3.6,-6.2,-13.4,-2.5,-16.6,5.5,-6.8,,,10.9,11.5,9.4,4.6,21.9,8,8,7,-4.9,-0.6,-1.5,-4.5,-3.5,,
Bengals,@Steelers,8,0,11.2,28.9,14.7,32.7,-2.9,-2.1,12.2,34.1,0.4,3.5,,,9.7,9.4,22.5,-11.3,12.1,8.6,9,-1.4,2.3,5,-6,0,2,,
Titans,@Texans,8,1,-29.5,-12.7,-14.4,-15.4,-10.3,6.1,-31.7,-12.1,-7,-2.8,,,9.8,6.7,-6.8,6.2,-4.5,3.3,4,-16.4,-11.2,-29.3,10.5,-3.5,-4.5,,
Jets,@Raiders,8,1,1.9,23.2,3.1,7.1,-2.2,27.6,4.6,28.2,3.7,-6.5,,,3.1,4.8,-19.4,-6.3,-27.4,4.8,5.9,-11.2,-3.5,-15.5,17,3,2,,
Seahawks,@Cowboys,8,1,-14.1,18.2,-4.4,2.7,-7.2,7,-16.8,17.7,-5.2,8,,,10.8,10.3,16.8,-4,13.7,11.9,12.7,16.8,16.8,31.9,3,4,6,,
Packers,@Broncos,8,1,7.7,33.1,-28.4,21.8,31.9,14.4,6.2,39,2.7,2.8,,,11,13.3,20,13.2,29.5,11.2,10.8,24.7,1,23.3,21.5,2.5,3,,
Colts,@Panthers,8,0,12.6,-8.8,4.7,-4.5,16.8,-5.3,16.2,-10.2,-5.3,-0.4,,,7,7.4,-4.7,1.7,-8.5,10.2,8.8,-1.1,2.3,4.5,-2,-5,-7,,
Browns,@Bengals,9,1,30.1,-12.9,24.2,-10,1.8,-8.6,30.4,-13,4.4,5.6,,,8.6,9,-1.4,2.3,5,6.9,7.2,-10.2,3,-6.7,8,-13,-10.5,,
Packers,@Panthers,9,1,18.4,24.5,2.2,16.5,20.6,6,18.2,25,-4.6,2.5,,,7,7.4,-4.7,1.7,-8.5,11.2,10.8,24.7,1,23.3,10,2,1.5,,
Redskins,@Patriots,9,1,40.4,-5.7,29.5,-0.2,2.2,-6.3,40.5,-5.6,8.8,0.9,,,11.8,10.8,13.5,3,22.1,4.5,4.4,-11.8,-9.9,-27,3.5,-13.5,-13.5,,
Titans,@Saints,9,0,-8,-17.9,11.8,-21.1,-16.9,6,-8.1,-17.5,-3,-2.4,,,7.4,7.6,10.6,-13.1,-0.9,3.3,4,-16.4,-11.2,-29.3,-12.5,-6.5,-7,,
Dolphins,@Bills,9,1,4.2,-8.3,3.6,-2.9,-0.4,-5.3,4.5,-9,1.3,-0.8,,,9.6,9,-11.2,15.5,10.5,8.4,8.8,10.1,-0.5,3.5,12.5,-3.5,-3,,
Rams,@Vikings,9,1,-17.4,4.7,-14.4,-14.5,-6.9,19,-17.3,4.8,4,0.3,,,7.5,7.2,-7.4,-4.3,-8.7,7.1,6.1,-11.1,3.8,-3.8,2,-1,-3,,
Jaguars,@Jets,9,0,22.9,-15.3,9.4,-4.1,18.6,-4.8,22.8,-15.2,-5.2,-6.3,,,4.8,5.9,-11.2,-3.5,-15.5,3.6,3.3,-24.3,-1.5,-29.5,-2.5,-7.5,-7.5,,
Raiders,@Steelers,9,0,13.8,15.4,12.9,13.9,2,-1.3,13.9,14.9,-1,2.3,,,9.7,9.4,22.5,-11.3,12.1,3.1,4.8,-19.4,-6.3,-27.4,-3,-6,-6,,
Giants,@Buccaneers,9,0,-15.7,2.1,-9.5,3,-6.3,-7.2,-16.3,2.2,-0.5,6.4,,,4.4,4.1,-26.3,-1.1,-28.3,7.5,7,-0.3,-4.9,-5.8,-12.5,1.5,1.5,,
Falcons,@49ers,9,1,-38.7,-5.4,-20.3,3.8,-16.6,-5,-39,-5,-2.1,-3.8,,,7,9,-0.4,10.1,6.6,7.1,7.2,7.2,-15.7,-5.4,10,9,3,,
Broncos,@Colts,9,1,-10.7,21.3,-8.6,-17.3,-2.7,36,-10.9,21,0.4,2.3,,,10.2,8.8,-1.1,2.3,4.5,11,13.3,20,13.2,29.5,6,3,3,,
Eagles,@Cowboys,9,0,-15.9,13.2,-8.1,-7.6,-3.2,19.9,-15.6,12.9,-4.3,0.6,,,10.8,10.3,16.8,-4,13.7,9.7,9.7,1.1,3.3,12.8,-3,3,1.5,,
Bears,@Chargers,9,0,-13.1,-22.7,6.3,-4.1,-13.7,-12.1,-13.3,-23,-5.9,-6.8,,,8,8,7,-4.9,-0.6,4.9,6.4,-0.1,-10.6,-13.8,-6.5,-3.5,-4.5,,
Bills,@Jets,10,0,19.1,8,4.9,9.7,17.6,-2.7,19.7,9.2,-2.8,2.2,,,4.8,5.9,-11.2,-3.5,-15.5,9.6,9,-11.2,15.5,10.5,-7.5,-2.5,-3,,
Lions,@Packers,10,0,17,-32.7,14.3,-16.1,3.1,-14.5,18.7,-32.5,1.3,-1.9,,,11.2,10.8,24.7,1,23.3,9.2,8.7,-3.8,13.9,4.4,-12,-10,-12,,
Cowboys,@Buccaneers,10,1,-10.7,-12.9,-8.9,-4.2,-2.9,-7,-14.1,-12.9,-2.3,-1.7,,,4.4,4.1,-26.3,-1.1,-28.3,10.8,10.3,16.8,-4,13.7,5,1,-1,,
Panthers,@Titans,10,0,-17,22.4,-16.8,5.4,5,21.1,-13.7,21.6,-1.9,-4.9,,,3.3,4,-16.4,-11.2,-29.3,7,7.4,-4.7,1.7,-8.5,-13,4,6,,
Bears,@Rams,10,0,3.3,-21.2,-15,-3.2,17.5,-10.8,3.6,-21.6,1.1,-7.6,,,7.1,6.1,-11.1,3.8,-3.8,4.9,6.4,-0.1,-10.6,-13.8,-31,-7,-8,,
Saints,@Redskins,10,1,-8.1,-11.3,-4.2,11.4,-5.8,-19.4,-8.8,-11.7,1.2,-3.7,,,4.5,4.4,-11.8,-9.9,-27,7.4,7.6,10.6,-13.1,-0.9,34.5,1.5,1,,
Dolphins,@Eagles,10,0,14,-8.9,-4.5,2.7,17.2,-10,13,-9.1,0.3,-1.8,,,9.7,9.7,1.1,3.3,12.8,8.4,8.8,10.1,-0.5,3.5,-6.5,-5.5,-6,,
Browns,@Steelers,10,1,17.1,-16.1,15.6,-11.8,2.7,-9.6,16.8,-16.8,-1.5,4.6,,,9.7,9.4,22.5,-11.3,12.1,6.9,7.2,-10.2,3,-6.7,14,-7,-4.5,,
Jaguars,@Ravens,10,0,-3.7,-9,-1.6,-2.8,-8.2,-0.8,-3.3,-9.1,6.5,-5.5,,,10.9,11.5,9.4,4.6,21.9,3.6,3.3,-24.3,-1.5,-29.5,-7,-5,-6,,
Vikings,@Raiders,10,0,13.3,-12.4,12.9,-13.2,-4.1,-5.4,10.7,-14.9,1.9,3.7,,,3.1,4.8,-19.4,-6.3,-27.4,7.5,7.2,-7.4,-4.3,-8.7,-19,-3,-3,,
Patriots,@Giants,10,1,0.6,39.7,-1.9,25.2,-4.6,7.3,0.5,40,7,7.5,,,7.5,7,-0.3,-4.9,-5.8,11.8,10.8,13.5,3,22.1,6,7,7,,
Chiefs,@Broncos,10,0,17.4,12.9,-17.5,7.7,29.1,-0.5,16.4,12.3,4.8,5.1,,,11,13.3,20,13.2,29.5,10.1,9.4,5,-1.3,10.4,-19.5,-3.5,-7,,
Cardinals,@Seahawks,10,0,15.5,34.7,-0.9,19.3,8.4,18.4,14,36.2,6.5,-1.5,,,11.9,12.7,16.8,16.8,31.9,8.3,7.4,-9.3,5,-6.4,-10,-3,-3,,
Texans,@Bengals,10,0,28.5,-22.9,23.2,-12.6,3.7,-4.6,30,-23.5,3.1,-6.3,,,8.6,9,-1.4,2.3,5,9.8,6.7,-6.8,6.2,-4.5,-14,-10,-12,,
Titans,@Jaguars,11,1,-13.8,-18.4,-5.1,-16.4,-2.5,2,-13.1,-16.9,-5.5,-2.5,,,3.6,3.3,-24.3,-1.5,-29.5,3.3,4,-16.4,-11.2,-29.3,3,-3,-3,,
Raiders,@Lions,11,1,-21.8,6.1,-14.2,11.9,-9.5,-6.7,-22.1,4.2,1.6,-1,,,9.2,8.7,-3.8,13.9,4.4,3.1,4.8,-19.4,-6.3,-27.4,6,1,0,,
Colts,@Falcons,11,0,-6,-8,1.5,-4.5,-5,-3,-5.1,-8.7,-1.6,-1.2,,,7.1,7.2,7.2,-15.7,-5.4,10.2,8.8,-1.1,2.3,4.5,-6.5,-3.5,-5.5,,
Jets,@Texans,11,1,-16.1,15.4,-11.4,3,-0.2,16.9,-16.5,16.4,-4.9,-3.5,,,9.8,6.7,-6.8,6.2,-4.5,4.8,5.9,-11.2,-3.5,-15.5,11,4,3,,
Buccaneers,@Eagles,11,0,11.1,-11.1,-7.1,-10,17.4,-0.3,9,-13.8,-1.3,-3.5,,,9.7,9.7,1.1,3.3,12.8,4.4,4.1,-26.3,-1.1,-28.3,-35,-7,-4,,
Broncos,@Bears,11,1,-13.1,9.7,0.3,-21.9,-8.2,27.4,-15.6,10.1,-7.7,4.6,,,4.9,6.4,-0.1,-10.6,-13.8,11,13.3,20,13.2,29.5,0.5,2.5,0,,
Packers,@Vikings,11,0,-3.7,12.4,-7.5,13.2,-3.4,3,-6.5,14.9,4.4,-1.3,,,7.5,7.2,-7.4,-4.3,-8.7,11.2,10.8,24.7,1,23.3,-18,-1,0,,
Rams,@Ravens,11,NA,-2.5,-3.9,-1.3,-20.2,-7.3,14.4,-2.5,-3.7,6.1,2.1,,,10.9,11.5,9.4,4.6,21.9,7.1,6.1,-11.1,3.8,-3.8,0,-3,0,,
Cowboys,@Dolphins,11,0,-6.9,-13.5,2.7,-5.8,-7.3,-5.5,-7,-12.5,-2.4,-1.2,,,8.4,8.8,10.1,-0.5,3.5,10.8,10.3,16.8,-4,13.7,-8,2,1.5,,
Redskins,@Panthers,11,1,23.9,-0.8,7.9,1.9,17.3,-3.7,23,-0.8,-2.2,1,,,7,7.4,-4.7,1.7,-8.5,4.5,4.4,-11.8,-9.9,-27,21,-7,-7.5,,
Bengals,@Cardinals,11,0,27,25.6,16.4,18,14.1,5.6,30.2,26.5,-0.3,2.9,,,8.3,7.4,-9.3,5,-6.4,8.6,9,-1.4,2.3,5,-0.5,-3.5,-3.5,,
49ers,@Seahawks,11,1,22.3,-37.2,4.9,-18.7,9.1,-14.5,20,-36.5,6,-3.3,,,11.9,12.7,16.8,16.8,31.9,7,9,-0.4,10.1,6.6,2,-14,-11.5,,
Chiefs,@Chargers,11,0,-17.1,15.9,4.4,8.3,-14.7,2.5,-16.3,14.6,-6,3.8,,,8,8,7,-4.9,-0.6,10.1,9.4,5,-1.3,10.4,-27,3,3.5,,
Bills,@Patriots,11,NA,33.5,12.2,21.8,10.7,4.1,-1.3,34.5,12.3,8.6,2.9,,,11.8,10.8,13.5,3,22.1,9.6,9,-11.2,15.5,10.5,0,-7,-9,,
Eagles,@Lions,12,NA,-16.1,-1.3,-12.7,-10.6,-5.4,10.3,-16.7,-1.4,1.4,-1.1,,,9.2,8.7,-3.8,13.9,4.4,9.7,9.7,1.1,3.3,12.8,NA,NA,NA,,
Panthers,@Cowboys,12,NA,-14.2,31.1,-8.5,9.6,-4.3,23.5,-13.3,29.1,-0.5,-4,,,10.8,10.3,16.8,-4,13.7,7,7.4,-4.7,1.7,-8.5,NA,NA,NA,,
Bears,@Packers,12,NA,9.8,-10.1,13.1,3.5,1.4,-11.2,14.3,-13.8,-0.2,-6.1,,,11.2,10.8,24.7,1,23.3,4.9,6.4,-0.1,-10.6,-13.8,NA,NA,NA,,
Saints,@Texans,12,NA,-9,-19.1,-6.8,9.7,2.8,-25.2,-9.9,-18.4,-5.9,-2.9,,,9.8,6.7,-6.8,6.2,-4.5,7.4,7.6,10.6,-13.1,-0.9,NA,NA,NA,,
Rams,@Bengals,12,NA,30,-6.7,20.8,-22.1,5.4,15.8,29.5,-5.9,3.3,0.4,,,8.6,9,-1.4,2.3,5,7.1,6.1,-11.1,3.8,-3.8,NA,NA,NA,,
Vikings,@Falcons,12,NA,-6.7,-2.9,-1.7,-5.1,-1,-3.2,-5.6,-4.7,-2.9,3.6,,,7.1,7.2,7.2,-15.7,-5.4,7.5,7.2,-7.4,-4.3,-8.7,NA,NA,NA,,
Giants,@Redskins,12,NA,-5.8,1.9,-3.9,0,-6.2,-4,-6,1.8,4.1,5.8,,,4.5,4.4,-11.8,-9.9,-27,7.5,7,-0.3,-4.9,-5.8,NA,NA,NA,,
Buccaneers,@Colts,12,NA,-5.8,-0.2,-7.2,-2.3,0.8,1.3,-6.7,-3.7,-0.3,-2.7,,,10.2,8.8,-1.1,2.3,4.5,4.4,4.1,-26.3,-1.1,-28.3,NA,NA,NA,,
Bills,@Chiefs,12,NA,24.4,8.1,8.8,9.7,7.8,-1.4,20.8,9.7,4.2,1.4,,,10.1,9.4,5,-1.3,10.4,9.6,9,-11.2,15.5,10.5,NA,NA,NA,,
Raiders,@Titans,12,NA,-13.6,-1.9,-12.2,7.2,4.1,-8.5,-12.3,-2.1,-4.2,-0.8,,,3.3,4,-16.4,-11.2,-29.3,3.1,4.8,-19.4,-6.3,-27.4,NA,NA,NA,,
Chargers,@Jaguars,12,NA,-12.3,-19.4,-4.7,1.9,-4.2,-16,-12.2,-19.4,-3.3,-5.3,,,3.6,3.3,-24.3,-1.5,-29.5,8,8,7,-4.9,-0.6,NA,NA,NA,,
Dolphins,@Jets,12,NA,8.2,-5.2,-1.3,0.9,12.7,-6.3,9.2,-7.7,-2.2,-2.3,,,4.8,5.9,-11.2,-3.5,-15.5,8.4,8.8,10.1,-0.5,3.5,NA,NA,NA,,
Cardinals,@49ers,12,NA,-39.3,26.2,-17.4,16.3,-19.3,13.9,-39.6,29.6,-2.9,-0.6,,,7,9,-0.4,10.1,6.6,8.3,7.4,-9.3,5,-6.4,NA,NA,NA,,
Steelers,@Seahawks,12,NA,24.1,14.8,9.5,15.5,7.8,1.3,22.7,15.2,5.4,-1.6,,,11.9,12.7,16.8,16.8,31.9,9.7,9.4,22.5,-11.3,12.1,NA,NA,NA,,
Patriots,@Broncos,12,NA,12.3,32,-16,20.8,24.2,4.3,12.6,33.7,4.4,8.6,,,11,13.3,20,13.2,29.5,11.8,10.8,13.5,3,22.1,NA,NA,NA,,
Ravens,@Browns,12,NA,-21.3,-5,-12.9,-3.2,-13.1,-7,-21.6,-5,4.4,5.2,,,6.9,7.2,-10.2,3,-6.7,10.9,11.5,9.4,4.6,21.9,NA,NA,NA,,
Packers,@Lions,13,NA,,,,,,,,,,,,,9.2,8.7,-3.8,13.9,4.4,11.2,10.8,24.7,1,23.3,NA,NA,,,
Jets,@Giants,13,NA,,,,,,,,,,,,,7.5,7,-0.3,-4.9,-5.8,4.8,5.9,-11.2,-3.5,-15.5,NA,NA,,,
Cardinals,@Rams,13,NA,,,,,,,,,,,,,7.1,6.1,-11.1,3.8,-3.8,8.3,7.4,-9.3,5,-6.4,NA,NA,,,
Falcons,@Buccaneers,13,NA,,,,,,,,,,,,,4.4,4.1,-26.3,-1.1,-28.3,7.1,7.2,7.2,-15.7,-5.4,NA,NA,,,
Panthers,@Saints,13,NA,,,,,,,,,,,,,7.4,7.6,10.6,-13.1,-0.9,7,7.4,-4.7,1.7,-8.5,NA,NA,,,
Seahawks,@Vikings,13,NA,,,,,,,,,,,,,7.5,7.2,-7.4,-4.3,-8.7,11.9,12.7,16.8,16.8,31.9,NA,NA,,,
Texans,@Bills,13,NA,,,,,,,,,,,,,9.6,9,-11.2,15.5,10.5,9.8,6.7,-6.8,6.2,-4.5,NA,NA,,,
Ravens,@Dolphins,13,NA,,,,,,,,,,,,,8.4,8.8,10.1,-0.5,3.5,10.9,11.5,9.4,4.6,21.9,NA,NA,,,
Bengals,@Browns,13,NA,,,,,,,,,,,,,6.9,7.2,-10.2,3,-6.7,8.6,9,-1.4,2.3,5,NA,NA,,,
Jaguars,@Titans,13,NA,,,,,,,,,,,,,3.3,4,-16.4,-11.2,-29.3,3.6,3.3,-24.3,-1.5,-29.5,NA,NA,,,
49ers,@Bears,13,NA,,,,,,,,,,,,,4.9,6.4,-0.1,-10.6,-13.8,7,9,-0.4,10.1,6.6,NA,NA,,,
