Visitor,Home,Week,Winner,HDAVE,VDAVE,HOff,VOff,HDef,VDef,HTotal,VTotal,HSpec,VSpec,log(HDAVE),log(VDAVE),14HPyth,14HEst,14HOff,14HDef,14HTotal,14VPyth,14VEst,14VOff,14VDef,14VTotal,Home Cushion,Spread,Open Spread,HWin,VWin
Broncos,@Chargers,13,NA,,,,,,,,,,,,,8,8,7,-4.9,-0.6,11,13.3,20,13.2,29.5,NA,NA,,,
Chiefs,@Raiders,13,NA,,,,,,,,,,,,,3.1,4.8,-19.4,-6.3,-27.4,10.1,9.4,5,-1.3,10.4,NA,NA,,,
Eagles,@Patriots,13,NA,,,,,,,,,,,,,11.8,10.8,13.5,3,22.1,9.7,9.7,1.1,3.3,12.8,NA,NA,,,
Colts,@Steelers,13,NA,,,,,,,,,,,,,9.7,9.4,22.5,-11.3,12.1,10.2,8.8,-1.1,2.3,4.5,NA,NA,,,
Cowboys,@Redskins,13,NA,,,,,,,,,,,,,4.5,4.4,-11.8,-9.9,-27,10.8,10.3,16.8,-4,13.7,NA,NA,,,
Vikings,@Cardinals,14,NA,,,,,,,,,,,,,8.3,7.4,-9.3,5,-6.4,7.5,7.2,-7.4,-4.3,-8.7,NA,NA,,,
Bills,@Eagles,14,NA,,,,,,,,,,,,,9.7,9.7,1.1,3.3,12.8,9.6,9,-11.2,15.5,10.5,NA,NA,,,
49ers,@Browns,14,NA,,,,,,,,,,,,,6.9,7.2,-10.2,3,-6.7,7,9,-0.4,10.1,6.6,NA,NA,,,
Lions,@Rams,14,NA,,,,,,,,,,,,,7.1,6.1,-11.1,3.8,-3.8,9.2,8.7,-3.8,13.9,4.4,NA,NA,,,
Saints,@Buccaneers,14,NA,,,,,,,,,,,,,4.4,4.1,-26.3,-1.1,-28.3,7.4,7.6,10.6,-13.1,-0.9,NA,NA,,,
Titans,@Jets,14,NA,,,,,,,,,,,,,4.8,5.9,-11.2,-3.5,-15.5,3.3,4,-16.4,-11.2,-29.3,NA,NA,,,
Steelers,@Bengals,14,NA,,,,,,,,,,,,,8.6,9,-1.4,2.3,5,9.7,9.4,22.5,-11.3,12.1,NA,NA,,,
Patriots,@Texans,14,NA,,,,,,,,,,,,,9.8,6.7,-6.8,6.2,-4.5,11.8,10.8,13.5,3,22.1,NA,NA,,,
Colts,@Jaguars,14,NA,,,,,,,,,,,,,3.6,3.3,-24.3,-1.5,-29.5,10.2,8.8,-1.1,2.3,4.5,NA,NA,,,
Chargers,@Chiefs,14,NA,,,,,,,,,,,,,10.1,9.4,5,-1.3,10.4,8,8,7,-4.9,-0.6,NA,NA,,,
Redskins,@Bears,14,NA,,,,,,,,,,,,,4.9,6.4,-0.1,-10.6,-13.8,4.5,4.4,-11.8,-9.9,-27,NA,NA,,,
Falcons,@Panthers,14,NA,,,,,,,,,,,,,7,7.4,-4.7,1.7,-8.5,7.1,7.2,7.2,-15.7,-5.4,NA,NA,,,
Raiders,@Broncos,14,NA,,,,,,,,,,,,,11,13.3,20,13.2,29.5,3.1,4.8,-19.4,-6.3,-27.4,NA,NA,,,
Cowboys,@Packers,14,NA,,,,,,,,,,,,,11.2,10.8,24.7,1,23.3,10.8,10.3,16.8,-4,13.7,NA,NA,,,
Seahawks,@Ravens,14,NA,,,,,,,,,,,,,10.9,11.5,9.4,4.6,21.9,11.9,12.7,16.8,16.8,31.9,NA,NA,,,
Giants,@Dolphins,14,NA,,,,,,,,,,,,,8.4,8.8,10.1,-0.5,3.5,7.5,7,-0.3,-4.9,-5.8,NA,NA,,,
Buccaneers,@Rams,15,NA,,,,,,,,,,,,,7.1,6.1,-11.1,3.8,-3.8,4.4,4.1,-26.3,-1.1,-28.3,NA,NA,,,
Jets,@Cowboys,15,NA,,,,,,,,,,,,,10.8,10.3,16.8,-4,13.7,4.8,5.9,-11.2,-3.5,-15.5,NA,NA,,,
Bears,@Vikings,15,NA,,,,,,,,,,,,,7.5,7.2,-7.4,-4.3,-8.7,4.9,6.4,-0.1,-10.6,-13.8,NA,NA,,,
Falcons,@Jaguars,15,NA,,,,,,,,,,,,,3.6,3.3,-24.3,-1.5,-29.5,7.1,7.2,7.2,-15.7,-5.4,NA,NA,,,
Texans,@Colts,15,NA,,,,,,,,,,,,,10.2,8.8,-1.1,2.3,4.5,9.8,6.7,-6.8,6.2,-4.5,NA,NA,,,
Cardinals,@Eagles,15,NA,,,,,,,,,,,,,9.7,9.7,1.1,3.3,12.8,8.3,7.4,-9.3,5,-6.4,NA,NA,,,
Panthers,@Giants,15,NA,,,,,,,,,,,,,7.5,7,-0.3,-4.9,-5.8,7,7.4,-4.7,1.7,-8.5,NA,NA,,,
Titans,@Patriots,15,NA,,,,,,,,,,,,,11.8,10.8,13.5,3,22.1,3.3,4,-16.4,-11.2,-29.3,NA,NA,,,
Bills,@Redskins,15,NA,,,,,,,,,,,,,4.5,4.4,-11.8,-9.9,-27,9.6,9,-11.2,15.5,10.5,NA,NA,,,
Chiefs,@Ravens,15,NA,,,,,,,,,,,,,10.9,11.5,9.4,4.6,21.9,10.1,9.4,5,-1.3,10.4,NA,NA,,,
Browns,@Seahawks,15,NA,,,,,,,,,,,,,11.9,12.7,16.8,16.8,31.9,6.9,7.2,-10.2,3,-6.7,NA,NA,,,
Packers,@Raiders,15,NA,,,,,,,,,,,,,3.1,4.8,-19.4,-6.3,-27.4,11.2,10.8,24.7,1,23.3,NA,NA,,,
Broncos,@Steelers,15,NA,,,,,,,,,,,,,9.7,9.4,22.5,-11.3,12.1,11,13.3,20,13.2,29.5,NA,NA,,,
Dolphins,@Chargers,15,NA,,,,,,,,,,,,,8,8,7,-4.9,-0.6,8.4,8.8,10.1,-0.5,3.5,NA,NA,,,
Bengals,@49ers,15,NA,,,,,,,,,,,,,7,9,-0.4,10.1,6.6,8.6,9,-1.4,2.3,5,NA,NA,,,
Lions,@Saints,15,NA,,,,,,,,,,,,,7.4,7.6,10.6,-13.1,-0.9,9.2,8.7,-3.8,13.9,4.4,NA,NA,,,
Chargers,@Raiders,16,NA,,,,,,,,,,,,,3.1,4.8,-19.4,-6.3,-27.4,8,8,7,-4.9,-0.6,NA,NA,,,
Redskins,@Eagles,16,NA,,,,,,,,,,,,,9.7,9.7,1.1,3.3,12.8,4.5,4.4,-11.8,-9.9,-27,NA,NA,,,
Patriots,@Jets,16,NA,,,,,,,,,,,,,4.8,5.9,-11.2,-3.5,-15.5,11.8,10.8,13.5,3,22.1,NA,NA,,,
Texans,@Titans,16,NA,,,,,,,,,,,,,3.3,4,-16.4,-11.2,-29.3,9.8,6.7,-6.8,6.2,-4.5,NA,NA,,,
Browns,@Chiefs,16,NA,,,,,,,,,,,,,10.1,9.4,5,-1.3,10.4,6.9,7.2,-10.2,3,-6.7,NA,NA,,,
Colts,@Dolphins,16,NA,,,,,,,,,,,,,8.4,8.8,10.1,-0.5,3.5,10.2,8.8,-1.1,2.3,4.5,NA,NA,,,
Jaguars,@Saints,16,NA,,,,,,,,,,,,,7.4,7.6,10.6,-13.1,-0.9,3.6,3.3,-24.3,-1.5,-29.5,NA,NA,,,
49ers,@Lions,16,NA,,,,,,,,,,,,,9.2,8.7,-3.8,13.9,4.4,7,9,-0.4,10.1,6.6,NA,NA,,,
Cowboys,@Bills,16,NA,,,,,,,,,,,,,9.6,9,-11.2,15.5,10.5,10.8,10.3,16.8,-4,13.7,NA,NA,,,
Bears,@Buccaneers,16,NA,,,,,,,,,,,,,4.4,4.1,-26.3,-1.1,-28.3,4.9,6.4,-0.1,-10.6,-13.8,NA,NA,,,
Panthers,@Falcons,16,NA,,,,,,,,,,,,,7.1,7.2,7.2,-15.7,-5.4,7,7.4,-4.7,1.7,-8.5,NA,NA,,,
Giants,@Vikings,16,NA,,,,,,,,,,,,,7.5,7.2,-7.4,-4.3,-8.7,7.5,7,-0.3,-4.9,-5.8,NA,NA,,,
Rams,@Seahawks,16,NA,,,,,,,,,,,,,11.9,12.7,16.8,16.8,31.9,7.1,6.1,-11.1,3.8,-3.8,NA,NA,,,
Packers,@Cardinals,16,NA,,,,,,,,,,,,,8.3,7.4,-9.3,5,-6.4,11.2,10.8,24.7,1,23.3,NA,NA,,,
Steelers,@Ravens,16,NA,,,,,,,,,,,,,10.9,11.5,9.4,4.6,21.9,9.7,9.4,22.5,-11.3,12.1,NA,NA,,,
Bengals,@Broncos,16,NA,,,,,,,,,,,,,11,13.3,20,13.2,29.5,8.6,9,-1.4,2.3,5,NA,NA,,,
Jets,@Bills,17,NA,,,,,,,,,,,,,9.6,9,-11.2,15.5,10.5,4.8,5.9,-11.2,-3.5,-15.5,NA,NA,,,
Patriots,@Dolphins,17,NA,,,,,,,,,,,,,8.4,8.8,10.1,-0.5,3.5,11.8,10.8,13.5,3,22.1,NA,NA,,,
Buccaneers,@Panthers,17,NA,,,,,,,,,,,,,7,7.4,-4.7,1.7,-8.5,4.4,4.1,-26.3,-1.1,-28.3,NA,NA,,,
Saints,@Falcons,17,NA,,,,,,,,,,,,,7.1,7.2,7.2,-15.7,-5.4,7.4,7.6,10.6,-13.1,-0.9,NA,NA,,,
Ravens,@Bengals,17,NA,,,,,,,,,,,,,8.6,9,-1.4,2.3,5,10.9,11.5,9.4,4.6,21.9,NA,NA,,,
Steelers,@Browns,17,NA,,,,,,,,,,,,,6.9,7.2,-10.2,3,-6.7,9.7,9.4,22.5,-11.3,12.1,NA,NA,,,
Jaguars,@Texans,17,NA,,,,,,,,,,,,,9.8,6.7,-6.8,6.2,-4.5,3.6,3.3,-24.3,-1.5,-29.5,NA,NA,,,
Titans,@Colts,17,NA,,,,,,,,,,,,,10.2,8.8,-1.1,2.3,4.5,3.3,4,-16.4,-11.2,-29.3,NA,NA,,,
Raiders,@Chiefs,17,NA,,,,,,,,,,,,,10.1,9.4,5,-1.3,10.4,3.1,4.8,-19.4,-6.3,-27.4,NA,NA,,,
Redskins,@Cowboys,17,NA,,,,,,,,,,,,,10.8,10.3,16.8,-4,13.7,4.5,4.4,-11.8,-9.9,-27,NA,NA,,,
Eagles,@Giants,17,NA,,,,,,,,,,,,,7.5,7,-0.3,-4.9,-5.8,9.7,9.7,1.1,3.3,12.8,NA,NA,,,
Lions,@Bears,17,NA,,,,,,,,,,,,,4.9,6.4,-0.1,-10.6,-13.8,9.2,8.7,-3.8,13.9,4.4,NA,NA,,,
Vikings,@Packers,17,NA,,,,,,,,,,,,,11.2,10.8,24.7,1,23.3,7.5,7.2,-7.4,-4.3,-8.7,NA,NA,,,
Chargers,@Broncos,17,NA,,,,,,,,,,,,,11,13.3,20,13.2,29.5,8,8,7,-4.9,-0.6,NA,NA,,,
Seahawks,@Cardinals,17,NA,,,,,,,,,,,,,8.3,7.4,-9.3,5,-6.4,11.9,12.7,16.8,16.8,31.9,NA,NA,,,
Rams,@49ers,17,NA,,,,,,,,,,,,,7,9,-0.4,10.1,6.6,7.1,6.1,-11.1,3.8,-3.8,NA,NA,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giants,@Redskins,-4,0,2.7,-15,13.9,-14.2,20.1,-3.2,17,-26.5,-17,-9.1,,,,,,,,,,,,,-34,-3,,,
Packers,@Bears,-4,0,15.9,8.4,5.4,-4.5,19.9,-2.2,24.3,-0.1,-1,6.6,,,,,,,,,,,,,-20,1,,,
Titans,@Colts,-4,1,-4.5,-13.6,1.3,-13.7,-13.4,0.4,-8.2,-23.2,3.9,-9.9,,,,,,,,,,,,,17,-7,,,
Dolphins,@Raiders,-4,0,-21.1,-9.4,-25,-4.3,-0.1,6.8,-24.7,-13.9,0.4,-16.4,,,,,,,,,,,,,-20,4,,,
Lions,@Jets,-4,0,-7.1,2.6,-17.7,0.7,6.4,24.7,-12.3,14.2,-1,-11.2,,,,,,,,,,,,,-9,-2,,,
Buccaneers,@Steelers,-4,0,8.6,-29.8,21.9,-38.6,-12.6,-12.8,14.9,-65.3,5.6,-13.9,,,,,,,,,,,,,-10,-7,,,
Panthers,@Ravens,-4,1,-2,1.7,2.2,4.4,0.4,2,2.5,1.8,-0.1,-4.6,,,,,,,,,,,,,25,-3,,,
Bills,@Texans,-4,1,-10,8.8,0,5.6,-6.1,2.3,-11.1,21.9,-5,14,,,,,,,,,,,,,3.5,-2.5,,,
Jaguars,@Chargers,-4,1,3.1,-31.3,-1.8,-34,-5.6,-13.9,-6.3,-52.6,1.1,-4.7,,,,,,,,,,,,,8,-11,,,
Falcons,@Vikings,-4,1,-16.3,13.9,-29.2,22.3,-4.5,-1.2,-35,35.8,-1.3,14.7,,,,,,,,,,,,,18.5,5.5,,,
Eagles,@49ers,-4,1,4.9,12.1,5.4,5.1,-4.8,7,-1.9,20.9,-2.5,8.8,,,,,,,,,,,,,1.5,-3.5,,,
Saints,@Cowboys,-4,1,-5.2,11.7,3.3,24.6,-8.5,-15.4,-2.1,10.8,3.1,1.6,,,,,,,,,,,,,24,3,,,
Patriots,@Chiefs,-4,1,-15.6,17.4,-11.5,-8.3,-13.8,27.1,-25.8,21.5,-0.5,2.7,,,,,,,,,,,,,30,3,,,
Colts,@Texans,-6,0,-9.4,2.7,-9.4,3.5,2.8,-3.1,-9.5,4.1,-2.9,3.7,,,,,,,,,,,,,-2.5,2.5,,,
Bears,@Falcons,-6,0,12.5,3,22.1,2.2,-12.7,4.1,18.7,0.8,9.3,-5.5,,,,,,,,,,,,,-17,-3,,,
Patriots,@Bills,-6,0,2.6,8.9,-17.4,-5.4,13.8,6.5,4.4,6.7,8,5.6,,,,,,,,,,,,,-16,-1,,,
Panthers,@Bengals,-6,0,13.3,-5.5,14.4,1,7.2,-10.1,19.5,-7.9,-2.1,1.2,,,,,,,,,,,,,-7,-7,,,
Steelers,@Browns,-6,1,-4.1,5.5,21.2,10.9,-17.9,-6.3,2.2,6.5,-1.1,1.9,,,,,,,,,,,,,18.5,-2.5,,,
Jaguars,@Titans,-6,0,-17.9,-39.9,-8.4,-35.5,-7.1,-12.8,-21.6,-49.2,-6.1,-0.9,,,,,,,,,,,,,-2,-4,,,
Packers,@Dolphins,-6,0,-4.3,25.8,-0.7,18.1,8.7,6.4,-2.9,29.3,-10.9,4.8,,,,,,,,,,,,,-1.5,1.5,,,
Lions,@Vikings,-6,0,-20.6,4.5,-20.1,-3.9,-8.4,22.6,-27.2,9.2,1.3,-9.5,,,,,,,,,,,,,-15,-1,,,
Broncos,@Jets,-6,0,-18.3,34.5,-24.9,26.3,-1.7,15.6,-23.6,41.3,3,-0.6,,,,,,,,,,,,,-4.5,9.5,,,
Ravens,@Buccaneers,-6,0,-29.4,15.2,-26.3,10.8,-7.8,10.2,-40.1,22.6,-6,1.6,,,,,,,,,,,,,-28,3,,,
Chargers,@Raiders,-6,1,-27.2,14.7,-31.2,9,-6.7,5.6,-33.3,15.7,4.6,1.1,,,,,,,,,,,,,4,7,,,
Redskins,@Cardinals,-6,1,-1.5,-8.3,-8.2,2.9,6.7,-1.1,0.4,-8.1,1.9,-9.9,,,,,,,,,,,,,5,-5,,,
Cowboys,@Seahawks,-6,0,29.4,2.6,23.8,11.1,12,-7.4,38.5,5.8,2.7,2.1,,,,,,,,,,,,,-17,-10,,,
Giants,@Eagles,-6,1,5.6,6.2,-5.5,3.2,1,8.8,5.6,9.8,10.1,-2.2,,,,,,,,,,,,,25.5,-1.5,,,
49ers,@Rams,-6,0,-16,5.5,-7.8,0.5,-12.9,9.9,-25.7,4.1,-5,-6.3,,,,,,,,,,,,,-11,3,,,
Chargers,@Broncos,-8,1,44.2,13.2,31.4,15.7,18.2,-4.7,48.7,13.2,-0.9,2.2,,,,,,,,,,,,,5,-9,,,
Lions,@Falcons,-8,1,-2.6,4,7.6,-11.3,-16,24.9,-1.8,5.2,6.6,-8.4,,,,,,,,,,,,,2,3,,,
Ravens,@Bengals,-8,1,2.2,26.1,1.9,16.2,-1.7,8.8,2.7,28.5,2.5,3.5,,,,,,,,,,,,,6,3,,,
Texans,@Titans,-8,0,-13.3,-9.1,-5.2,-4.9,-5.3,0.3,-14.1,-9.2,-3.6,-4.6,,,,,,,,,,,,,-11,3,,,
Rams,@Chiefs,-8,1,7.2,-12.9,6.6,-4.6,1.4,-12.2,9.9,-15.7,1.9,1.1,,,,,,,,,,,,,19.5,-7.5,,,
Bears,@Patriots,-8,1,6.2,-1.4,1.8,1.5,-0.1,1.8,5.7,-1.9,4,-5.2,,,,,,,,,,,,,22.5,-5.5,,,
Bills,@Jets,-8,0,-13.7,-1,-16.2,-16.5,-2.3,10.5,-14.7,-0.4,3.8,5.6,,,,,,,,,,,,,-23,-3,,,
Vikings,@Buccaneers,-8,0,-39.3,-23.7,-25.8,-29.8,-15,-2.8,-49,-29.2,-8.2,3.4,,,,,,,,,,,,,-7,-1,,,
Seahawks,@Panthers,-8,1,-11.4,21,2.3,15.5,-14,8.1,-12.4,22.7,-0.7,-0.9,,,,,,,,,,,,,2,6,,,
Dolphins,@Jaguars,-8,0,-27.9,4.8,-28.7,5.6,1.4,11.1,-29.8,6.8,-2.5,-9.9,,,,,,,,,,,,,-7,7,,,
Eagles,@Cardinals,-8,1,-0.5,12.6,-11.2,-2.9,10,6.3,0.6,14.5,1.8,11.1,,,,,,,,,,,,,5,1,,,
Raiders,@Browns,-8,1,-3.4,-21.4,5.4,-16,-5.8,-8.4,-0.9,-22.3,-0.5,2.1,,,,,,,,,,,,,3.5,-6.5,,,
Colts,@Steelers,-8,1,2,18.1,5.6,8.7,-7.4,5.6,2.2,19.4,4,5.1,,,,,,,,,,,,,21.5,4.5,,,
Packers,@Saints,-8,1,-1.5,25.6,11.8,19.9,-17.7,4.4,-4.6,26.1,1.3,1.8,,,,,,,,,,,,,19,-2,,,
Redskins,@Cowboys,-8,0,12.2,-10.7,16.5,-3,-1.3,-0.3,13.7,-10.3,-1.5,-7,,,,,,,,,,,,,-12,-9,,,
Saints,@Panthers,-9,0,-14.7,5.9,-2.7,18,-11.1,-13.7,-14.8,5.5,-1,1.2,,,,,,,,,,,,,-15,3,,,
Jaguars,@Bengals,-9,NA,6,-25.5,0.3,-27.1,3.1,3.9,6.7,-26.1,3.3,-2.9,,,,,,,,,,,,,0,-10,,,
Buccaneers,@Browns,-9,0,-0.5,-43.7,2.9,-26.5,-3.4,-12.8,-0.3,-43.9,0.2,-4.6,,,,,,,,,,,,,-2,-7,,,
Cardinals,@Cowboys,-9,0,8.5,-1.2,12.9,-10.3,-2.9,8.1,8.5,-1,-1.5,1.2,,,,,,,,,,,,,-12,-1,,,
Jets,@Chiefs,-9,1,15.2,-19.2,5.1,-21.3,5.2,-1.3,15.1,-19.2,4.8,3.4,,,,,,,,,,,,,5,-9,,,
Chargers,@Dolphins,-9,1,9,8.8,5.2,16.6,11.9,-9.2,8.8,8.8,-8.3,1.4,,,,,,,,,,,,,34,-3,,,
Redskins,@Vikings,-9,1,-24.5,-6.5,-27.7,-2.2,0.9,1.2,-24.4,-6.5,2.4,-5.5,,,,,,,,,,,,,4,1,,,
Eagles,@Texans,-9,0,-4.8,12.4,-2.5,-3.7,2.5,6,-4.8,12.4,-4.8,10.1,,,,,,,,,,,,,-7.5,2.5,,,
Rams,@49ers,-9,0,-3.7,-24.3,-3.1,-8.6,4.4,-14,-3.6,-24.6,-4.9,-2,,,,,,,,,,,,,-13,-10,,,
Broncos,@Patriots,-9,1,7.3,47.7,7.5,31.8,-5.4,17.5,7,47.6,4.9,-1.7,,,,,,,,,,,,,25,3,,,
Raiders,@Seahawks,-9,0,18.2,-19,8.3,-16,10.2,-6.4,18.8,-19.4,0.3,3,,,,,,,,,,,,,-7,-13,,,
Ravens,@Steelers,-9,1,10.2,26.1,15.9,11.3,-8.4,10.7,10,26,2.5,4,,,,,,,,,,,,,18,-2,,,
Colts,@Giants,-9,0,-4.9,11,-2.3,9.7,-0.3,-3.7,-4.6,11,-2,5,,,,,,,,,,,,,-13,3,,,
Titans,@Jaguars,-16,1,-26.1,-35.9,-26.3,-17.1,-0.1,-11,-30.5,-30.1,-4.1,-2,,,,,,,,,,,,,4,-4,,,
Chargers,@49ers,-16,0,1.1,3.6,-5.2,10,11.6,-4.4,2.3,3.9,-4.1,-1.7,,,,,,,,,,,,,-5,-2,,,
Eagles,@Redskins,-16,1,-36.4,14.9,-12.2,-2.2,-9.3,5.4,-27.5,12.3,-6,9.1,,,,,,,,,,,,,10,7,,,
Lions,@Bears,-16,1,-22.9,4.3,1.1,-3.9,-11.7,15.6,-13.9,6.9,-3.3,-4.8,,,,,,,,,,,,,4,10,,,
Vikings,@Dolphins,-16,0,7,-5.7,7,-8.8,4.9,-2.2,8.3,-9.3,-3.6,1.7,,,,,,,,,,,,,-2.5,-4.5,,,
Falcons,@Saints,-16,0,3.8,-6.7,14.3,11.3,-12.7,-17.4,2.2,-2.6,0.6,3.5,,,,,,,,,,,,,-22,-6,,,
Patriots,@Jets,-16,1,-22.3,35.1,-14.4,16.6,-4.7,5.3,-20.2,27.2,-1.1,5.3,,,,,,,,,,,,,8.5,9.5,,,
Chiefs,@Steelers,-16,1,10.4,19.9,22.3,8.2,-13.1,-1.4,9,13.2,-0.2,6.4,,,,,,,,,,,,,5.5,-2.5,,,
Packers,@Buccaneers,-16,0,-24.6,22.2,-25,24.5,-3.7,-0.7,-31.1,21.7,-2.4,-2.1,,,,,,,,,,,,,-6,11,,,
Browns,@Panthers,-16,0,-16.7,-11.3,-7.1,-10.6,-1.7,3.2,-14.5,-7.4,-5.7,0,,,,,,,,,,,,,-2,-6,,,
Ravens,@Texans,-16,1,-3.7,28.6,-4.3,14.6,0.8,3,-7.3,25.1,-3.8,7.5,,,,,,,,,,,,,17.5,5.5,,,
Giants,@Rams,-16,0,7.2,-5.3,-10.6,-6.3,6.2,-1.9,-1.5,-7.4,2.9,0.8,,,,,,,,,,,,,-16.5,-6.5,,,
Colts,@Cowboys,-16,1,8.9,8.9,14.9,2.7,-9.2,2.1,6.7,9,1,4.2,,,,,,,,,,,,,32,-3,,,
Bills,@Raiders,-16,1,-28.2,14,-20.6,-11.9,-5.4,16.6,-27.1,11.5,-1.1,6.8,,,,,,,,,,,,,9,7,,,
Seahawks,@Cardinals,-16,0,-1.5,23.1,-10.1,14.8,11.5,11.9,-1.1,25.4,-2.5,-1.3,,,,,,,,,,,,,-10,9,,,
Broncos,@Bengals,-16,1,-1.9,30,-1.7,23.4,0.2,13.6,3.7,33.2,5.2,-3.8,,,,,,,,,,,,,12.5,3.5,,,