VSpecVOff,VDefVTotal,Home Cushion
-0.911496,-1.78812,-10
8.852068,8.99749,4
2.425188,2.01879,19
0.916312,1.44669,-17
-4.035208,-3.81213,7.5
-9.547496,-9.59783,-23
-8.499516,-8.05991,-9
3.223296,2.95599,2
-4.324112,-4.97728,13
-4.970164,-4.85823,6
0.47794,0.24956,17
-7.746284,-7.70159,8
-0.437272,-1.04584,10
-0.285556,-0.25928,-16.5
-0.50164,-0.25123,7
-2.567728,-3.08816,-19
4.388148,4.13734,8
-2.822456,-2.7764,-12
6.792232,6.86068,-1
-4.673768,-4.17447,-10.5
-2.218256,-2.3949,-6
2.11216,1.98039,20
6.558052,6.91264,5
5.75188,5.69688,-10
-2.132952,-2.03167,4
3.160072,3.24363,15
-3.19772,-3.01166,-7
3.078316,3.48234,33
-7.115672,-6.8169,-27
2.899044,3.65098,10
-5.041704,-5.72999,-9
-2.822892,-2.99955,5
-2.490944,-2.33767,0
2.007268,1.46876,-10
0.914848,1.17337,-1
-3.197836,-3.10607,-20.5
4.486924,4.13397,-11
1.042372,0.78199,6
-4.860736,-4.62794,5
7.668248,7.64454,17
-1.72234,-1.64852,11.5
-5.96626,-5.72453,-1.5
-8.240688,-8.21676,-7
-2.43276,-2.51995,-9
-2.67892,-2.58104,-4
-2.22758,-2.13373,3
-1.011668,-0.90733,-7
-0.61038,-0.52049,-11
5.674912,5.93064,-10
-10.036016,-9.94853,0
-1.118644,-1.06934,-1
2.373256,2.42705,6
-2.322324,-1.95968,15.5
-7.861576,-7.56133,-9.5
-4.087024,-4.15412,5
-2.745488,-2.78722,-1
-5.837108,-6.14197,-20
-9.800964,-9.7159,-15
-4.006712,-4.47182,-0.5
4.361048,4.61669,-4.5
-0.582524,-0.58672,-8