Week,Home Cushion,Linear A,P Home
2,-10,0.951501,0.721416941
2,4,2.08911,0.889840214
2,19,5.331621,0.9951870524
2,-17,-2.584239,0.07015968557
2,7.5,-2.996025,0.0476057738
2,-23,-0.796515,0.3107714873
2,-9,3.213561,0.9613414245
2,2,5.733921,0.9967760571
2,13,-3.396732,0.03239775402
2,6,-1.66209,0.1594816388
2,17,0.156936,0.5391536736
2,8,-5.448012,0.004286401905
2,10,-4.822926,0.00797904105
2,-16.5,0.680106,0.6637623551
2,7,4.667151,0.9906885096
2,-19,1.399161,0.8020507182
3,8,1.975773,0.8782298397
3,-12,-0.65472,0.3419266858
3,-1,3.00333,0.9527243386
3,-10.5,-2.768343,0.05905902746
3,-6,0.251625,0.5625764283
3,20,4.203552,0.9852775814
3,5,1.950654,0.8755179363
3,-10,2.613666,0.9317359382
3,4,-3.193674,0.0394044766
3,15,1.60491,0.8327035071
3,-7,0.472989,0.6160909682
3,33,6.968766,0.9990600711
3,-27,-1.169313,0.2369791852
3,10,0.706116,0.6695423705
3,-9,-2.48991,0.07656856063
3,5,2.449884,0.9205529675
4,0,2.501715,0.9242619604
4,-10,-0.516093,0.3737662739
4,-1,-0.128022,0.4680381417
4,-20.5,2.056368,0.88658949
4,-11,-0.79206,0.3117265187
4,6,0.111954,0.5279593033
4,5,-2.579307,0.07048211885
4,17,4.899801,0.9926069985
4,11.5,1.948323,0.8752636669
4,-1.5,-2.480424,0.07724197584
4,-7,-2.886576,0.05282116282
4,-9,2.746434,0.9397116393
4,-4,-2.341077,0.08777763821
4,3,-0.4425,0.3911454308
4,-7,-0.523491,0.3720362841
5,-11,-1.521699,0.1792114693
5,-10,1.966989,0.8772873342
5,0,0.103989,0.5259738481
5,-1,2.37225,0.9146866033
5,6,-1.6494,0.1611900578
5,15.5,-1.132395,0.243719383
5,-9.5,-2.94036,0.05019410753
5,5,1.747335,0.8516163522
5,-1,0.132501,0.5330768713
5,-20,-1.419117,0.1948000475
5,-15,-1.055823,0.2581084937
5,-0.5,-1.248369,0.2229826004
5,-4.5,1.378974,0.7988261696
5,-8,1.327143,0.7903676608